Origin,Destination,rescaling
austria,belgium,1.608988764
austria,bosnia and herzegovina,1.608813236
austria,croatia,1.609404367
austria,czechia,2.379044884
austria,denmark,1.608787572
austria,france,1.609186983
austria,germany,2.139654624
austria,hungary,2.734838791
austria,italy,5.64263863
austria,netherlands,1.609071545
austria,poland,1.609162393
austria,romania,1.609044101
austria,serbia,1.609478207
austria,slovakia,4.687617521
austria,slovenia,2.803277474
austria,sweden,1.609065156
austria,switzerland,5.685926039
austria,united kingdom,1.610098177
belgium,austria,1.391802153
belgium,france,1.856886239
belgium,germany,2.019308826
belgium,italy,1.397722912
belgium,luxembourg,3.514504028
belgium,netherlands,1.955104686
belgium,poland,1.392269001
belgium,portugal,1.391551584
belgium,romania,1.391413876
belgium,serbia,1.391199735
belgium,spain,1.392246715
belgium,switzerland,1.396244131
belgium,united kingdom,1.821298311
bosnia and herzegovina,austria,2.408105404
bosnia and herzegovina,croatia,3.589923918
bosnia and herzegovina,germany,2.407838334
bosnia and herzegovina,italy,2.407407407
bosnia and herzegovina,serbia,5.733257299
bosnia and herzegovina,slovenia,2.407534427
bulgaria,germany,2.570401233
bulgaria,greece,2.967734813
bulgaria,romania,10.20638534
bulgaria,serbia,6.188451821
bulgaria,united kingdom,2.560440994
croatia,austria,1.038792102
croatia,bosnia and herzegovina,1.828824541
croatia,germany,1.051139935
croatia,italy,5.940022246
croatia,serbia,5.291262926
croatia,slovenia,2.599709669
czechia,austria,2.830233717
czechia,france,2.06233578
czechia,germany,3.310276351
czechia,hungary,1.875983375
czechia,italy,1.875882034
czechia,netherlands,2.120194589
czechia,poland,6.571407149
czechia,romania,1.877664504
czechia,slovakia,3.884172772
czechia,united kingdom,1.876100424
denmark,austria,3.187449976
denmark,france,3.187043912
denmark,germany,4.029383522
denmark,netherlands,3.485721599
denmark,norway,3.409250954
denmark,poland,5.180252994
denmark,spain,3.18745517
denmark,sweden,3.764580437
denmark,united kingdom,4.384670268
estonia,finland,2.492116049
estonia,sweden,6.096563011
finland,estonia,5.593723169
finland,germany,5.265426053
finland,spain,5.266004486
finland,sweden,6.766538095
finland,united kingdom,5.265728477
france,austria,3.119824945
france,belgium,3.583406653
france,czechia,3.304434031
france,denmark,3.11535992
france,germany,5.195724535
france,hungary,3.114253136
